橋梁ID,点検年1,BCI1,点検年2,BCI2,
46,2007,85.4,2009,81,2
46,2009,81,2011,77.7,2
46,2011,77.7,2013,77.7,2
46,2013,77.7,2015,77.7,2
47,1983,100,2001,74.4,18
47,2005,74.8,2007,73.8,2
47,2007,73.8,2009,72.8,2
47,2009,72.8,2011,72.8,2
47,2011,72.8,2013,71.8,2
47,2015,73.3,2017,72.5,2
48,1998,100,2001,95.8,3
48,2001,95.8,2003,91.1,2
48,2003,91.1,2005,88.6,2
48,2005,88.6,2007,85,2
48,2007,85,2009,75,2
48,2009,75,2011,75,2
48,2011,75,2013,74.8,2
48,2013,74.8,2015,74.8,2
48,2015,74.8,2017,74.4,2
49,1983,100,2001,76.5,18
49,2001,76.5,2003,74.8,2
49,2003,74.8,2005,74.8,2
49,2007,75.2,2009,74,2
49,2009,74,2011,74,2
49,2011,74,2013,73.8,2
49,2015,74.1,2017,74.1,2
50,1996,100,2001,97.6,5
50,2001,97.6,2003,90.8,2
50,2003,90.8,2005,88.1,2
50,2005,88.1,2007,83.9,2
50,2007,83.9,2009,77.9,2
50,2009,77.9,2011,76.4,2
50,2011,76.4,2013,74.1,2
50,2013,74.1,2015,74,2
50,2015,74,2017,73.3,2
51,2000,100,2006,73.9,6
51,2010,80,2014,78.1,4
51,2014,78.1,2016,76.4,2
52,1993,100,2006,73.4,13
52,2006,73.4,2010,72.5,4
52,2010,72.5,2014,72.5,4
53,1969,100,2006,62.8,37
53,2006,62.8,2010,62.1,4
53,2010,62.1,2014,55.5,4
54,1993,100,2006,71.8,13
54,2010,73.7,2014,73.7,4
55,1994,100,2006,68.6,12
55,2010,70.4,2014,69.1,4
56,1994,100,2006,57.6,12
57,2000,100,2006,71.6,6
57,2010,74.4,2014,73.9,4
58,2001,100,2006,75,5
58,2010,82,2014,78.6,4
59,1992,100,2006,73.1,14
60,2000,100,2011,93,11
60,2011,93,2015,88.3,4
61,1994,100,2006,73.3,12
61,2006,73.3,2007,73.3,1
61,2007,73.3,2009,73.1,2
61,2009,73.1,2011,71.6,2
61,2011,71.6,2013,71,2
61,2013,71,2015,71,2
61,2015,71,2017,71,2
62,1994,100,2005,84,11
62,2005,84,2007,81.1,2
62,2007,81.1,2009,78.3,2
62,2009,78.3,2011,72.7,2
62,2011,72.7,2013,72.6,2
62,2015,73.8,2017,73.8,2
63,1994,100,2005,83.9,11
63,2005,83.9,2007,80.8,2
63,2007,80.8,2009,77.6,2
63,2009,77.6,2011,73,2
63,2011,73,2013,72.8,2
63,2015,73.6,2017,73.6,2
64,1994,100,2005,85.4,11
64,2005,85.4,2007,77.6,2
64,2007,77.6,2009,77.5,2
64,2009,77.5,2011,74.7,2
64,2011,74.7,2013,74.5,2
64,2013,74.5,2015,73.8,2
64,2015,73.8,2017,73.8,2
65,1994,100,2005,85.3,11
65,2005,85.3,2007,82.3,2
65,2007,82.3,2009,76.1,2
65,2009,76.1,2011,74.2,2
65,2011,74.2,2013,74,2
65,2013,74,2015,73.7,2
65,2015,73.7,2017,73.7,2
66,1997,100,2001,74.7,4
66,2003,88.1,2005,85.7,2
66,2005,85.7,2007,83.6,2
66,2007,83.6,2009,83.5,2
66,2009,83.5,2011,75,2
66,2013,75.5,2015,75.3,2
66,2015,75.3,2017,75.3,2
67,1994,100,2001,79,7
67,2003,87.7,2005,84.9,2
67,2005,84.9,2007,77.3,2
67,2009,78.7,2011,74.7,2
67,2011,74.7,2013,74.7,2
67,2013,74.7,2015,74.6,2
67,2015,74.6,2017,74.2,2
68,1993,100,2003,86.1,10
68,2003,86.1,2005,84.1,2
68,2005,84.1,2007,75.6,2
68,2009,76.1,2011,74.9,2
68,2011,74.9,2013,74.7,2
68,2013,74.7,2015,74.7,2
68,2015,74.7,2017,74.4,2
69,1993,100,2003,86.8,10
69,2003,86.8,2005,84.1,2
69,2005,84.1,2007,75.5,2
69,2009,75.8,2011,74.8,2
69,2011,74.8,2013,74.8,2
69,2013,74.8,2015,74.5,2
69,2015,74.5,2017,73.8,2
70,1994,100,2003,87.7,9
70,2003,87.7,2005,85.1,2
70,2005,85.1,2007,76.8,2
70,2009,77.8,2011,74.6,2
70,2011,74.6,2013,74.4,2
70,2013,74.4,2015,74.4,2
70,2015,74.4,2017,74.3,2
71,1992,100,2003,86,11
71,2003,86,2005,83.4,2
71,2005,83.4,2007,79.7,2
71,2007,79.7,2009,74.9,2
71,2009,74.9,2011,74.9,2
71,2011,74.9,2013,74.8,2
71,2015,75.4,2017,74.9,2
72,1992,100,2003,85.8,11
72,2003,85.8,2005,83.2,2
72,2005,83.2,2007,83.1,2
72,2007,83.1,2009,75,2
72,2009,75,2011,74.8,2
72,2011,74.8,2013,74.7,2
72,2015,75.4,2017,75.2,2
73,1992,100,2001,97.8,9
73,2001,97.8,2003,94.7,2
73,2003,94.7,2005,88.5,2
73,2005,88.5,2007,79.5,2
73,2007,79.5,2009,76.1,2
73,2009,76.1,2011,75.7,2
