lable,Sample ID,Inspection Time of Prestate,Inspection Time of PostState IRI,Pre-State IRI,Post-State IRI,Inspection Post time for Sneff,Sneff ,,,Construction year,Functional inspection year,Structural inspection year,Number of samples,&,,,,,,,,
1,72,2009,2021,1,1.763587749,2017,3.053477895,2009&2021&2017,,,,15.25,15.25,1,,6.1,6.1,14,,7.1,7.1,0
1,73,2009,2021,1,1.548822256,2017,3.586666446,2009&2021&2017,,,,15.5,15.5,1,,6.2,6.2,7,,7.2,7.2,0
1,74,2009,2021,1,1.453276533,2017,3.637513423,2009&2021&2017,,,,15.75,15.75,1,,6.3,6.3,7,,7.3,7.3,0
1,75,2009,2021,1,1.143825476,2017,3.723205662,2009&2021&2017,,,,16,16,0,,6.4,6.4,6,,7.4,7.4,2
1,76,2009,2021,1,1.360448153,2017,3.275260367,2009&2021&2017,,,,16.25,16.25,0,,6.5,6.5,6,,7.5,7.5,0
1,77,2009,2021,1,1.075687267,2017,3.823733717,2009&2021&2017,,,,16.5,16.5,2,,6.6,6.6,3,,7.6,7.6,0
1,78,2009,2021,1,1.276482952,2017,3.788153511,2009&2021&2017,,,,16.75,16.75,1,,6.7,6.7,6,,7.7,7.7,0
1,79,2009,2021,1,0.940598968,2017,3.991048439,2009&2021&2017,,,,17,17,1,,6.8,6.8,3,,7.8,7.8,0
1,80,2009,2021,1,1.028961716,2017,3.014783686,2009&2021&2017,,,,17.25,17.25,0,,6.9,6.9,3,,7.9,7.9,0
1,81,2009,2021,1,1.154021567,2017,3.587169478,2009&2021&2017,,,,17.5,17.5,1,,7,7,10,,8,8,0
1,82,2009,2021,1,1.000510433,2017,3.329376178,2009&2021&2017,,,,17.75,17.75,0,,7.1,7.1,4,,,次の級,0
1,83,2009,2021,1,1.440273259,2017,5.37038855,2009&2021&2017,,,,18,18,0,,7.2,7.2,4,,,,
1,84,2009,2021,1,1.001096575,2017,3.437853654,2009&2021&2017,,,,18.25,18.25,2,,7.3,7.3,2,,,,
1,85,2009,2021,1,0.933192111,2017,3.6859177,2009&2021&2017,,,,18.5,18.5,0,,7.4,7.4,8,,,,
1,86,2009,2021,1,1.118377787,2017,3.967393732,2009&2021&2017,,,,18.75,18.75,1,,7.5,7.5,7,,,,
1,87,2009,2021,1,1.004665004,2017,3.49925541,2009&2021&2017,,,,19,19,0,,7.6,7.6,4,,,,
1,88,2009,2021,1,0.875828804,2017,3.47590373,2009&2021&2017,,,,19.25,19.25,0,,7.7,7.7,2,,,,
1,89,2009,2021,1,1.159664787,2017,3.396307859,2009&2021&2017,,,,19.5,19.5,1,,7.8,7.8,1,,,,
1,90,2009,2021,1,1.027224203,2017,2.901634437,2009&2021&2017,,,,19.75,19.75,0,,7.9,7.9,2,,,,
1,91,2009,2021,1,1.103505784,2017,2.613192677,2009&2021&2017,,,,20,20,0,,8,8,2,,,,
1,92,2009,2021,1,1.090641569,2017,3.171601562,2009&2021&2017,,,,,次の級,1,,8.1,8.1,4,,,,
1,93,2009,2021,1,1.061254582,2017,3.053379715,2009&2021&2017,,,,,,,,8.2,8.2,4,,,,
1,94,2009,2021,1,1.088748161,2017,2.898810802,2009&2021&2017,,,,,,,,8.3,8.3,3,,,,
1,95,2009,2021,1,0.917769806,2017,3.276854706,2009&2021&2017,,,,,,,,8.4,8.4,3,,,,
1,96,2009,2021,1,1.064664406,2017,3.627747234,2009&2021&2017,,,,,,,,8.5,8.5,1,,,,
1,97,2009,2021,1,0.957480417,2017,2.991907457,2009&2021&2017,,,,,,,,8.6,8.6,1,,,,
1,98,2009,2021,1,1.557713057,2017,2.94677706,2009&2021&2017,,,,,,,,8.7,8.7,0,,,,
1,99,2009,2021,1,1.7478774,2017,3.262423372,2009&2021&2017,,,,,,,,8.8,8.8,3,,,,
1,100,2009,2021,1,1.342583646,2017,2.774866405,2009&2021&2017,,,,,,,,8.9,8.9,3,,,,
1,101,2009,2021,1,1.816464405,2017,3.399118469,2009&2021&2017,,,,,,,,9,9,4,,,,
1,102,2009,2021,1,1.298961709,2017,3.253542658,2009&2021&2017,,,,,,,,9.1,9.1,0,,,,
1,103,2009,2021,1,1.205140739,2017,2.827002416,2009&2021&2017,,,,,,,,9.2,9.2,2,,,,
1,104,2009,2021,1,1.346813333,2017,3.500568411,2009&2021&2017,,,,,,,,9.3,9.3,1,,,,
1,105,2009,2021,1,1.166780677,2017,3.144941334,2009&2021&2017,,,,,,,,9.4,9.4,2,,,,
1,106,2009,2021,1,1.042562964,2017,3.683829415,2009&2021&2017,,,,,,,,9.5,9.5,2,,,,
1,107,2009,2021,1,1.22869892,2017,3.089862905,2009&2021&2017,,,,,,,,9.6,9.6,2,,,,
1,108,2009,2021,1,1.176827763,2017,3.357211274,2009&2021&2017,,,,,,,,9.7,9.7,2,,,,
1,109,2009,2021,1,0.874690727,2017,2.772157893,2009&2021&2017,,,,,,,,9.8,9.8,3,,,,
1,110,2009,2021,1,1.075875663,2017,3.730472475,2009&2021&2017,,,,,,,,9.9,9.9,3,,,,
1,111,2009,2021,1,1.163350921,2017,2.568037758,2009&2021&2017,,,,,,,,10,10,1,,,,
1,112,2009,2021,1,1.294046918,2017,4.300494611,2009&2021&2017,,,,,,,,,次の級,43,,,,
1,113,2009,2021,1,1.257471697,2017,3.471563901,2009&2021&2017,,,,,,,,,,,,,,
1,114,2009,2021,1,1.118693181,2017,4.237145795,2009&2021&2017,,,,,,,,,,,,,,
1,115,2009,2021,1,1.700448128,2017,4.35513694,2009&2021&2017,,,,,,,,,,,,,,
1,116,2009,2021,1,1.29730409,2017,3.84947261,2009&2021&2017,,,,,,,,,,,,,,
1,117,2009,2021,1,1.169723242,2017,3.347980456,2009&2021&2017,,,,,,,,,,,,,,
1,118,2009,2021,1,1.350443528,2017,1.864926656,2009&2021&2017,,,,,,,,,,,,,,
1,119,2009,2021,1,1.062334197,2017,3.594880269,2009&2021&2017,,,,,,,,,,,,,,
1,120,2009,2021,1,1.175052164,2017,3.608118403,2009&2021&2017,,,,,,,,,,,,,,
1,121,2009,2021,1,1.267983302,2017,3.698194628,2009&2021&2017,,,,,,,,,,,,,,
1,122,2009,2021,1,1.308572318,2017,3.937750956,2009&2021&2017,,,,,,,,,,,,,,
1,123,2009,2021,1,1.581749892,2017,3.464414307,2009&2021&2017,,,,,,,,,,,,,,
1,124,2009,2021,1,5.315629161,2017,3.375097381,2009&2021&2017,,,,,,,,,,,,,,
1,125,2009,2021,1,5.450190736,2017,2.966830972,2009&2021&2017,,,,,,,,,,,,,,
1,126,2009,2021,1,1.561410548,2017,3.568498677,2009&2021&2017,,,,,,,,,,,,,,
1,127,2009,2021,1,1.932132414,2017,3.352930281,2009&2021&2017,,,,,,,,,,,,,,
1,128,2009,2021,1,7.864457701,2017,3.804242784,2009&2021&2017,,,,,,,,,,,,,,
1,129,2009,2021,1,1.457368384,2017,3.302358278,2009&2021&2017,,,,,,,,,,,,,,
1,130,2009,2021,1,5.321942576,2017,3.509637038,2009&2021&2017,,,,,,,,,,,,,,
1,131,2009,2021,1,3.308588867,2017,3.56488683,2009&2021&2017,,,,,,,,,,,,,,
1,132,2009,2021,1,1.733053647,2017,3.790222818,2009&2021&2017,,,,,,,,,,,,,,
1,133,2009,2021,1,1.489764041,2017,3.546618635,2009&2021&2017,,,,,,,,,,,,,,
1,134,2009,2021,1,1.703288316,2017,3.531840465,2009&2021&2017,,,,,,,,,,,,,,
1,135,2009,2021,1,1.506342569,2017,3.534137963,2009&2021&2017,,,,,,,,,,,,,,
1,136,2009,2021,1,1.408394198,2017,3.440804342,2009&2021&2017,,,,,,,,,,,,,,
