経過年数,建設時健全度（1と仮定）,調査時健全度,定数項（x1＝1）,管径,管渠延長,スパンID,調査年,建設年,材質番号（1 ヒューム管）
19,1,1,1,0.151515152,0.130761905,11970016,2010,1991,1
19,1,1,1,0.151515152,0.078571429,11970029,2010,1991,1
19,1,1,1,0.151515152,0.143095238,11970035,2010,1991,1
19,1,1,1,0.151515152,0.128666667,11970052,2010,1991,1
19,1,1,1,0.151515152,0.124857143,11970064,2010,1991,1
19,1,1,1,0.151515152,0.124761905,11970076,2010,1991,1
19,1,1,1,0.151515152,0.122,11970088,2010,1991,1
19,1,1,1,0.151515152,0.132190476,11970100,2010,1991,1
21,1,1,1,0.151515152,0.138095238,11970113,2010,1989,1
18,1,1,1,0.151515152,0.119047619,11971002,2010,1992,1
18,1,1,1,0.151515152,0.095619048,11971006,2010,1992,1
18,1,1,1,0.151515152,0.119047619,11971015,2010,1992,1
7,1,1,1,0.151515152,0.123904762,11971023,2010,2003,1
36,1,1,1,0.151515152,0.104761905,11980004,2010,1974,1
21,1,1,1,0.151515152,0.090952381,11980009,2010,1989,1
21,1,1,1,0.151515152,0.138095238,11980025,2010,1989,1
36,1,1,1,0.151515152,0.114285714,11980037,2010,1974,1
21,1,1,1,0.151515152,0.069047619,11980052,2010,1989,1
36,1,1,1,0.151515152,0.142857143,11980064,2010,1974,1
21,1,2,1,0.151515152,0.090952381,11980076,2010,1989,1
21,1,2,1,0.151515152,0.127142857,11980088,2010,1989,1
21,1,1,1,0.151515152,0.123809524,11980100,2010,1989,1
18,1,1,1,0.151515152,0.138095238,11980115,2010,1992,1
18,1,1,1,0.151515152,0.100238095,11981005,2010,1992,1
18,1,1,1,0.151515152,0.136428571,11981010,2010,1992,1
6,1,1,1,0.303030303,0.17047619,11982006,2011,2005,1
19,1,1,1,0.303030303,0.253809524,11984001,2010,1991,1
20,1,1,1,0.484848485,0.468952381,11984013,2011,1991,1
37,1,2,1,0.181818182,0.09047619,11990013,2011,1974,1
29,1,1,1,0.303030303,0.287619048,11994007,2010,1981,1
32,1,1,1,0.303030303,0.304666667,11998012,2011,1979,1
15,1,3,1,0.151515152,0.15652381,12834012,2012,1997,1
15,1,3,1,0.151515152,0.127666667,12834020,2012,1997,1
15,1,3,1,0.151515152,0.12847619,12835002,2012,1997,1
15,1,3,1,0.151515152,0.147285714,12844049,2012,1997,1
15,1,3,1,0.151515152,0.148095238,12844058,2012,1997,1
15,1,4,1,0.151515152,0.140047619,12845008,2012,1997,1
15,1,3,1,0.151515152,0.146857143,12845012,2012,1997,1
15,1,3,1,0.151515152,0.144095238,12845015,2012,1997,1
15,1,3,1,0.151515152,0.143190476,12845018,2012,1997,1
15,1,3,1,0.151515152,0.147904762,12845021,2012,1997,1
